Bairros	CODBAIRRO
ABOLICAO	070
ACARI	111
AGUA SANTA	067
ALTO DA BOA VISTA	034
ANCHIETA	107
ANDARAI	037
ANIL	116
BANCARIOS	097
BANGU	141
BARRA DA TIJUCA	128
BARRA DE GUARATIBA	152
BARROS FILHO	112
BENFICA	012
BENTO RIBEIRO	089
BONSUCESSO	040
BOTAFOGO	020
BRAS DE PINA	045
CACHAMBI	065
CACUIA	093
CAJU	004
CAMORIM	129
CAMPINHO	078
CAMPO DOS AFONSOS	136
CAMPO GRANDE	144
CASCADURA	082
CATETE	018
CATUMBI	006
CAVALCANTE	080
CENTRO	005
CIDADE DE DEUS	118
CIDADE NOVA	008
CIDADE UNIVERSITARIA	105
COCOTA	096
COELHO NETO	110
COLEGIO	077
COMPLEXO DO ALEMAO	156
COPACABANA	024
CORDOVIL	046
COSME VELHO	019
COSMOS	147
COSTA BARROS	113
CURICICA	119
DEL CASTILHO	053
DEODORO	134
ENCANTADO	068
ENGENHEIRO LEAL	081
ENGENHO DA RAINHA	055
ENGENHO DE DENTRO	066
ENGENHO NOVO	061
ESTACIO	009
FLAMENGO	015
FREGUESIA-ILHA	098
FREGUESIA-JPA	120
GALEAO	104
GAMBOA	002
GARDENIA AZUL	117
GAVEA	029
GLORIA	016
GRAJAU	038
GUADALUPE	106
GUARATIBA	151
HIGIENOPOLIS	050
HONORIO GURGEL	087
HUMAITA	021
INHAUMA	054
INHOAIBA	146
IPANEMA	025
IRAJA	076
ITANHANGA	127
JACARE	051
JACAREPAGUA	115
JACAREZINHO	155
JARDIM AMERICA	049
JARDIM BOTANICO	028
JARDIM CARIOCA	100
JARDIM GUANABARA	099
JARDIM SULACAP	137
LAGOA	027
LAPA	161
LARANJEIRAS	017
LEBLON	026
LEME	023
LINS DE VASCONCELOS	062
MADUREIRA	083
MAGALHAES BASTOS	138
MANGUEIRA	011
MANGUINHOS	039
MARACANA	035
MARE	157
MARECHAL HERMES	090
MARIA DA GRACA	052
MEIER	063
MONERO	102
OLARIA	042
OSWALDO CRUZ	088
PACIENCIA	148
PADRE MIGUEL	140
PAQUETA	013
PARADA DE LUCAS	047
PARQUE ANCHIETA	108
PARQUE COLUMBIA	159
PAVUNA	114
PECHINCHA	121
PEDRA DE GUARATIBA	153
PENHA	043
PENHA CIRCULAR	044
PIEDADE	069
PILARES	071
PITANGUEIRAS	094
PORTUGUESA	103
PRACA DA BANDEIRA	032
PRACA SECA	124
PRAIA DA BANDEIRA	095
QUINTINO BOCAIUVA	079
RAMOS	041
REALENGO	139
RECREIO DOS BANDEIRANTES	132
RIACHUELO	059
RIBEIRA	091
RICARDO ALBUQUERQUE	109
RIO COMPRIDO	007
ROCHA	058
ROCHA MIRANDA	086
ROCINHA	154
SAMPAIO	060
SANTA CRUZ	149
SANTA TERESA	014
SANTISSIMO	143
SANTO CRISTO	003
SAO CONRADO	031
SAO CRISTOVAO	010
SAO FRANCISCO XAVIER	057
SAUDE	001
SENADOR CAMARA	142
SENADOR VASCONCELOS	145
SEPETIBA	150
TANQUE	123
TAQUARA	122
TAUA	101
TIJUCA	033
TODOS OS SANTOS	064
TOMAS COELHO	056
TURIACU	085
URCA	022
VARGEM GRANDE	131
VARGEM PEQUENA	130
VASCO DA GAMA	158
VAZ LOBO	084
VICENTE DE CARVALHO	073
VIDIGAL	030
VIGARIO GERAL	048
VILA DA PENHA	074
VILA ISABEL	036
VILA KENNEDY	162
VILA KOSMOS	072
VILA MILITAR	135
VILA VALQUEIRE	125
VISTA ALEGRE	075
ZUMBI	092
JOA	126
GRUMARI	133
GERICINO	160
JABOUR	163
